scenario,x_name,x,quiet_mer,quiet_zon,dist_mer,dist_zon,total_mer,total_zon
height profile,alt,0.0,0.031,6.271,0.0,-0.0,0.031,6.271
height profile,alt,25.0,2.965,25.115,0.0,-0.0,2.965,25.115
height profile,alt,50.0,-6.627,96.343,0.0,-0.0,-6.627,96.343
height profile,alt,75.0,2.238,44.845,0.0,-0.0,2.238,44.845
height profile,alt,100.0,-14.339,31.627,0.086,-0.037,-14.253,31.59
height profile,alt,125.0,15.125,21.11,22.279,-9.483,37.403,11.628
height profile,alt,150.0,-1.683,-14.391,44.472,-18.929,42.789,-33.319
height profile,alt,175.0,-24.28,-31.019,44.558,-18.965,20.278,-49.984
height profile,alt,200.0,-19.531,-49.623,44.558,-18.965,25.027,-68.588
height profile,alt,225.0,-10.261,-61.057,44.558,-18.965,34.297,-80.022
height profile,alt,250.0,-4.15,-68.595,44.558,-18.965,40.408,-87.56
height profile,alt,275.0,-0.122,-73.564,44.558,-18.965,44.436,-92.53
height profile,alt,300.0,2.534,-76.84,44.558,-18.965,47.092,-95.806
height profile,alt,325.0,4.285,-79.0,44.558,-18.965,48.843,-97.965
height profile,alt,350.0,5.439,-80.424,44.558,-18.965,49.997,-99.389
height profile,alt,375.0,6.2,-81.362,44.558,-18.965,50.758,-100.327
height profile,alt,400.0,6.702,-81.981,44.558,-18.965,51.259,-100.946
latitude profile,glat,-90.0,-37.423,130.673,-86.773,46.502,-124.197,177.174
latitude profile,glat,-80.0,-16.364,76.079,-133.904,-12.215,-150.268,63.864
latitude profile,glat,-70.0,12.734,40.446,-137.274,-112.417,-124.54,-71.971
latitude profile,glat,-60.0,35.676,53.028,-58.808,-158.941,-23.132,-105.913
latitude profile,glat,-50.0,47.513,83.641,-16.136,-111.817,31.377,-28.176
latitude profile,glat,-40.0,50.456,87.682,-10.932,-51.15,39.524,36.532
latitude profile,glat,-30.0,48.334,69.088,7.971,-36.298,56.305,32.79
latitude profile,glat,-20.0,45.757,68.768,15.092,-34.427,60.849,34.341
latitude profile,glat,-10.0,46.997,99.279,11.12,-26.603,58.117,72.676
latitude profile,glat,0.0,50.93,126.837,5.821,-16.657,56.751,110.18
latitude profile,glat,10.0,50.389,124.748,0.659,-13.275,51.048,111.472
latitude profile,glat,20.0,40.982,110.968,-5.329,-20.421,35.653,90.547
latitude profile,glat,30.0,27.572,112.203,-12.74,-34.467,14.832,77.736
latitude profile,glat,40.0,16.513,116.979,-15.446,-41.985,1.068,74.993
latitude profile,glat,50.0,3.94,96.754,-6.688,-54.782,-2.749,41.972
latitude profile,glat,60.0,-20.111,61.456,-7.001,-202.013,-27.112,-140.557
latitude profile,glat,70.0,-54.689,56.348,-36.51,-52.515,-91.199,3.833
latitude profile,glat,80.0,-83.216,97.972,-103.542,81.98,-186.757,179.951
latitude profile,glat,90.0,-90.879,144.768,-75.838,90.679,-166.717,235.447
local time profile,stl,0.0,15.039,-20.115,-8.475,-20.072,6.564,-40.187
local time profile,stl,1.5,35.812,-57.326,-7.022,2.427,28.79,-54.899
local time profile,stl,3.0,27.917,-77.389,-5.6,20.202,22.316,-57.187
local time profile,stl,4.5,3.087,-69.451,-8.034,21.516,-4.946,-47.936
